,index,name,element,team_name,total_points,value,ict_index,minutes,position,away1,away_odds1,draw_odds1,home1,home_odds1,is_home1,away2,away_odds2,draw_odds2,home2,home_odds2,is_home2,win_odds1,win_odds2,agg_win_odds,games_played,scaled_points,next_gw,points_weighted,next_opp,surname,initial_team,picked,captain
469,469,Kieffer Moore,76,Bournemouth,14,46,0.564,100,FWD,Sheffield Utd,0.11636581442060583,0.1820062325581752,Bournemouth,0.7016279530212189,True,Luton,0.17319192209357245,0.21240029700912075,Bournemouth,0.6144077808973069,True,0.7016279530212189,0.6144077808973069,0.8849500602872389,1.1111111111111112,0.08045977011494253,28,0.4022558861838611,Sheffield Utd,Moore,0.0,0.0,0
470,470,Kieran Tierney,24,Arsenal,0,44,0.0,0,DEF,Brentford,0.07133864482157093,0.13979006080584494,Arsenal,0.7888712943725841,True,0,0.0,0.0,0,0.0,0,0.7888712943725841,0.0,0.7888712943725841,0.0,0.0,28,0.47332277662355043,Brentford,Tierney,0.0,0.0,0
471,471,Kieran Trippier,430,Newcastle,108,69,6.823076923076924,2073,DEF,Newcastle,0.2590882886422773,0.23345956715108013,Chelsea,0.5074521442066424,False,0,0.0,0.0,0,0.0,0,0.2590882886422773,0.0,0.2590882886422773,23.033333333333335,0.6206896551724138,28,0.4037288352543319,Chelsea,Trippier,0.0,0.0,0
472,472,Kjell Scherpen,147,Brighton,0,40,0.0,0,GK,Nottingham,0.2227949553790633,0.2431798066803998,Brighton,0.5340252379405369,True,0,0.0,0.0,0,0.0,0,0.5340252379405369,0.0,0.5340252379405369,0.0,0.0,28,0.32041514276432215,Nottingham,Scherpen,0.0,0.0,0
473,473,Kobbie Mainoo,388,Manchester Utd,31,44,1.323076923076923,950,MID,Everton,0.22663733715330828,0.24785901687786277,Manchester Utd,0.5255036459688289,True,0,0.0,0.0,0,0.0,0,0.5255036459688289,0.0,0.5255036459688289,10.555555555555555,0.1781609195402299,28,0.3170980101116695,Everton,Mainoo,0.0,0.0,0
474,474,Konstantinos Mavropanos,676,West Ham,33,45,1.1125,811,DEF,Burnley,0.18922937545744947,0.23949318090901806,West Ham,0.5712774436335324,True,0,0.0,0.0,0,0.0,0,0.5712774436335324,0.0,0.5712774436335324,9.011111111111111,0.1896551724137931,28,0.41862853514563664,Burnley,Mavropanos,0.0,0.0,0
475,475,Konstantinos Tsimikas,311,Liverpool,47,45,1.7037037037037037,669,DEF,Manchester City,0.4213459142169942,0.2577282115129626,Liverpool,0.3209258742700432,True,0,0.0,0.0,0,0.0,0,0.3209258742700432,0.0,0.3209258742700432,7.433333333333334,0.27011494252873564,28,0.30060150157352017,Manchester City,Tsimikas,0.0,0.0,0
476,476,Kortney Hause,45,Aston Villa,0,39,0.0,0,DEF,Tottenham,0.3587572114190153,0.24154588464894827,Aston Villa,0.3996969039320364,True,0,0.0,0.0,0,0.0,0,0.3996969039320364,0.0,0.3996969039320364,0.0,0.0,28,0.23981814235922183,Tottenham,Hause,0.0,0.0,0
477,477,Kristian Sekularac,796,Fulham,0,44,0.0,0,MID,Fulham,0.3310473138508762,0.2809023274614391,Wolves,0.38805035868768467,False,0,0.0,0.0,0,0.0,0,0.3310473138508762,0.0,0.3310473138508762,0.0,0.0,28,0.13241892554035048,Wolves,Sekularac,0.0,0.0,0
478,478,Kristoffer Ajer,90,Brentford,29,44,1.5653846153846156,1022,DEF,Brentford,0.07133864482157093,0.13979006080584494,Arsenal,0.7888712943725841,False,0,0.0,0.0,0,0.0,0,0.07133864482157093,0.0,0.07133864482157093,11.355555555555556,0.16666666666666666,28,0.10946985355960923,Arsenal,Ajer,0.0,0.0,0
479,479,Kurt Zouma,544,West Ham,56,45,2.3461538461538463,1908,DEF,Burnley,0.18922937545744947,0.23949318090901806,West Ham,0.5712774436335324,True,0,0.0,0.0,0,0.0,0,0.5712774436335324,0.0,0.5712774436335324,21.2,0.3218390804597701,28,0.47150209836402746,Burnley,Zouma,0.0,0.0,0
480,480,Kyle Walker,369,Manchester City,82,55,3.5076923076923077,2170,DEF,Manchester City,0.4213459142169942,0.2577282115129626,Liverpool,0.3209258742700432,False,0,0.0,0.0,0,0.0,0,0.4213459142169942,0.0,0.4213459142169942,24.11111111111111,0.47126436781609193,28,0.44131329565663324,Liverpool,Walker,0.0,0.0,0
481,481,Lawrence Vigouroux,181,Burnley,0,39,0.0,0,GK,Burnley,0.18922937545744947,0.23949318090901806,West Ham,0.5712774436335324,False,0,0.0,0.0,0,0.0,0,0.18922937545744947,0.0,0.18922937545744947,0.0,0.0,28,0.11353762527446967,West Ham,Vigouroux,0.0,0.0,0
